day,demand_GW
2020-01-01,29766.8958
2020-01-02,32312.1736
2020-01-03,33184.1701
2020-01-04,31027.0729
2020-01-05,30484.1076
2020-01-06,34417.4549
2020-01-07,33777.1840
2020-01-08,35712.3750
2020-01-09,35661.2153
2020-01-10,34731.9965
2020-01-11,30311.3958
2020-01-12,30624.8264
2020-01-13,34116.3576
2020-01-14,34973.9514
2020-01-15,33912.2951
2020-01-16,34455.3299
2020-01-17,35221.8056
2020-01-18,33213.4583
2020-01-19,33262.5035
2020-01-20,37541.6667
2020-01-21,38306.8333
2020-01-22,38735.0243
2020-01-23,39060.8264
2020-01-24,37978.9271
2020-01-25,33008.8507
2020-01-26,31546.8993
2020-01-27,35688.2465
2020-01-28,35362.5938
2020-01-29,34744.6458
2020-01-30,34255.2083
2020-01-31,32536.5069
2020-02-01,29200.2500
2020-02-02,29742.7188
2020-02-03,33112.6910
2020-02-04,34977.4410
2020-02-05,36823.9479
2020-02-06,36309.9688
2020-02-07,34125.8750
2020-02-08,28709.1389
2020-02-09,29700.4201
2020-02-10,33770.4896
2020-02-11,34040.0764
2020-02-12,35197.7257
2020-02-13,36024.0833
2020-02-14,35035.4340
2020-02-15,30181.3194
2020-02-16,29029.6736
2020-02-17,32518.5382
2020-02-18,33529.6840
2020-02-19,34919.5938
2020-02-20,33433.0694
2020-02-21,32883.6354
2020-02-22,28767.0243
2020-02-23,29504.4826
2020-02-24,34039.5278
2020-02-25,34628.3333
2020-02-26,35349.7778
2020-02-27,35906.8264
2020-02-28,35775.5174
2020-02-29,29372.3993
2020-03-01,29049.1910
2020-03-02,34115.7778
2020-03-03,35508.8785
2020-03-04,37516.4896
2020-03-05,38407.7118
2020-03-06,34420.2569
2020-03-07,29658.5000
2020-03-08,27902.9479
2020-03-09,32812.5938
2020-03-10,31905.5625
2020-03-11,31019.0764
2020-03-12,30977.9132
2020-03-13,33723.2153
2020-03-14,29323.9514
2020-03-15,28664.1667
2020-03-16,31824.4132
2020-03-17,31583.7778
2020-03-18,33356.3854
2020-03-19,34308.9306
2020-03-20,31871.7118
2020-03-21,27130.5660
2020-03-22,26878.7917
