date,demand_GW
2020-01-01 00:00:38,27035
2020-01-01 00:05:38,27007
2020-01-01 00:10:40,27044
2020-01-01 00:15:41,27095
2020-01-01 00:20:53,27100
2020-01-01 00:25:40,27160
2020-01-01 00:30:45,27188
2020-01-01 00:35:39,27202
2020-01-01 00:40:42,27519
2020-01-01 00:45:41,27657
2020-01-01 00:50:35,27709
2020-01-01 00:55:48,27713
2020-01-01 01:00:38,27675
2020-01-01 01:05:52,27646
2020-01-01 01:10:39,27574
2020-01-01 01:15:39,27428
2020-01-01 01:20:35,27279
2020-01-01 01:25:34,27073
2020-01-01 01:30:43,26852
2020-01-01 01:35:35,26739
2020-01-01 01:40:37,26652
2020-01-01 01:45:36,26578
2020-01-01 01:50:38,26403
2020-01-01 01:55:36,26247
2020-01-01 02:00:37,26166
2020-01-01 02:05:36,26093
2020-01-01 02:10:38,25928
2020-01-01 02:15:39,25864
2020-01-01 02:20:34,25677
2020-01-01 02:25:39,25728
2020-01-01 02:30:41,25652
2020-01-01 02:35:39,25543
2020-01-01 02:40:39,25660
2020-01-01 02:45:37,25643
2020-01-01 02:50:38,25574
2020-01-01 02:55:34,25391
2020-01-01 03:00:38,25377
2020-01-01 03:05:38,25390
2020-01-01 03:10:35,25361
2020-01-01 03:15:37,25341
2020-01-01 03:20:38,25227
2020-01-01 03:25:35,25088
2020-01-01 03:30:37,24998
2020-01-01 03:35:36,24879
2020-01-01 03:40:39,24772
2020-01-01 03:45:34,24724
2020-01-01 03:50:40,24615
2020-01-01 03:55:35,24435
2020-01-01 04:00:42,24409
2020-01-01 04:05:40,24187
2020-01-01 04:10:44,23848
2020-01-01 04:15:44,23741
2020-01-01 04:20:40,23848
2020-01-01 04:25:35,23801
2020-01-01 04:30:39,23782
2020-01-01 04:35:35,23769
2020-01-01 04:40:41,23893
2020-01-01 04:45:37,23911
2020-01-01 04:50:34,23828
2020-01-01 04:55:38,23851
2020-01-01 05:00:36,23843
2020-01-01 05:05:34,23814
2020-01-01 05:10:36,23891
2020-01-01 05:15:35,23908
2020-01-01 05:20:37,23851
2020-01-01 05:25:39,23788
2020-01-01 05:30:58,23788
2020-01-01 05:35:37,23765
2020-01-01 05:40:39,23861
2020-01-01 05:45:37,23931
2020-01-01 05:50:36,23950
2020-01-01 05:55:35,23998
2020-01-01 06:00:37,24036
2020-01-01 06:05:37,24151
2020-01-01 06:10:38,24602
2020-01-01 06:15:34,24729
2020-01-01 06:20:35,24794
2020-01-01 06:25:39,24826
2020-01-01 06:30:39,24859
2020-01-01 06:35:39,24878
2020-01-01 06:40:38,24879
